ID,Gemeente,Locatie
9040068,Sint-Jans-Molenbeek,"Sint-Jans-Molenbeek,Brussels,Belgium"
9040069,Saint-Gilles,"Saint-Gilles,Brussels,Belgium"
9040070,Forest,"Forest,Brussels,Belgium"
9040071,Beersel,"Beersel,Flanders,Belgium"
9040072,Huldenberg,"Huldenberg,Flanders,Belgium"
9040073,Watermael-Boitsfort,"Watermael-Boitsfort,Brussels,Belgium"
9040074,Putte,"Putte,Flanders,Belgium"
9040075,Zemst,"Zemst,Flanders,Belgium"
9040076,Kapelle-op-den-Bos,"Kapelle-op-den-Bos,Flanders,Belgium"
9040077,Merchtem,"Merchtem,Flanders,Belgium"
9040078,Borsbeek,"Borsbeek,Flanders,Belgium"
9040079,Hove,"Hove,Flanders,Belgium"
9040080,Dilsen-Stokkem,"Dilsen-Stokkem,Flanders,Belgium"
9040081,Lint,"Lint,Flanders,Belgium"
9040082,Ranst,"Ranst,Flanders,Belgium"
9040083,Brecht,"Brecht,Flanders,Belgium"
9040084,Wuustwezel,"Wuustwezel,Flanders,Belgium"
9040085,Vorselaar,"Vorselaar,Flanders,Belgium"
9040086,Lille,"Lille,Flanders,Belgium"
9040087,Merksplas,"Merksplas,Flanders,Belgium"
9040088,Oud-Turnhout,"Oud-Turnhout,Flanders,Belgium"
9040089,Retie,"Retie,Flanders,Belgium"
9040090,Neerpelt,"Neerpelt,Flanders,Belgium"
9040091,Middelkerke,"Middelkerke,Flanders,Belgium"
9040092,Bredene,"Bredene,Flanders,Belgium"
9040093,De Haan,"De Haan,Flanders,Belgium"
9040094,Oudenburg,"Oudenburg,Flanders,Belgium"
9040095,Ichtegem,"Ichtegem,Flanders,Belgium"
9040096,Veurne,"Veurne,Flanders,Belgium"
9040097,Zonnebeke,"Zonnebeke,Flanders,Belgium"
9040098,Virton,"Virton,Wallonia,Belgium"
9041150,Brussels Airport (BRU),"Brussels Airport (BRU),Flanders,Belgium"
9047638,Andenne,"Andenne,Wallonia,Belgium"
9047639,Anzegem,"Anzegem,Flanders,Belgium"
9047640,Aubange,"Aubange,Wallonia,Belgium"
9047641,Awans,"Awans,Wallonia,Belgium"
9047642,Aywaille,"Aywaille,Wallonia,Belgium"
9047643,Bassenge,"Bassenge,Wallonia,Belgium"
9047644,Blegny,"Blegny,Wallonia,Belgium"
9047645,Bocholt,"Bocholt,Flanders,Belgium"
9047646,Chastre,"Chastre,Wallonia,Belgium"
9047647,Chatelet,"Chatelet,Wallonia,Belgium"
9047648,Chaumont-Gistoux,"Chaumont-Gistoux,Wallonia,Belgium"
9047649,Chievres,"Chievres,Wallonia,Belgium"
9047650,Clavier,"Clavier,Wallonia,Belgium"
9047651,Couvin,"Couvin,Wallonia,Belgium"
9047652,Damme,"Damme,Flanders,Belgium"
9047653,De Panne,"De Panne,Flanders,Belgium"
9047654,Eghezee,"Eghezee,Wallonia,Belgium"
9047655,Erpe-Mere,"Erpe-Mere,Flanders,Belgium"
9047656,Esneux,"Esneux,Wallonia,Belgium"
9047657,Flemalle,"Flemalle,Wallonia,Belgium"
9047658,Ham,"Ham,Flanders,Belgium"
9047659,Ham-sur-Heure-Nalinnes,"Ham-sur-Heure-Nalinnes,Wallonia,Belgium"
9047660,Hamont-Achel,"Hamont-Achel,Flanders,Belgium"
9047661,Houthulst,"Houthulst,Flanders,Belgium"
9047662,Jemeppe-sur-Sambre,"Jemeppe-sur-Sambre,Wallonia,Belgium"
9047663,Kortemark,"Kortemark,Flanders,Belgium"
9047664,Ledegem,"Ledegem,Flanders,Belgium"
9047665,Leuze-en-Hainaut,"Leuze-en-Hainaut,Wallonia,Belgium"
9047666,Libramont-Chevigny,"Libramont-Chevigny,Wallonia,Belgium"
9047667,Malmedy,"Malmedy,Wallonia,Belgium"
9047668,Moerbeke-Waas,"Moerbeke-Waas,Flanders,Belgium"
9047669,Onze-Lieve-Vrouw-Waver,"Onze-Lieve-Vrouw-Waver,Flanders,Belgium"
9047670,Profondeville,"Profondeville,Wallonia,Belgium"
9047671,Sint-Agatha-Berchem,"Sint-Agatha-Berchem,Brussels,Belgium"
9047672,Saint Vith,"Saint Vith,Wallonia,Belgium"
9047673,Vielsalm,"Vielsalm,Wallonia,Belgium"
9047674,Villers-la-Ville,"Villers-la-Ville,Wallonia,Belgium"
9047675,Waasmunster,"Waasmunster,Flanders,Belgium"
9047676,Woluwe-Saint-Pierre,"Woluwe-Saint-Pierre,Brussels,Belgium"
9069523,Flanders,"Flanders,Belgium"
9069524,Wallonia,"Wallonia,Belgium"
9181102,Neder-Over-Heembeek,"Neder-Over-Heembeek,Brussels,Belgium"
9181103,Neerpede,"Neerpede,Brussels,Belgium"
